dose,time,MPL_conc,mRNA,Free_receptor
0,0,0,3.459,259.6
0,0,0,5.56,256.7
0,0,0,4.372,500.9
0,0,0,1.971,241.7
0,0,0,1.351,388.7
0,0,0,NA,287.9
0,0,0,3.79,457.1
0,0,0,2.907,467.9
0,0,0,6.063,298
0,0,0,1.633,233.9
0,0,0,4.307,343.3
0,0,0,4.752,230.1
0.1,6,3.96,1.811,136.5
0.1,6,13.55,1.594,112.9
0.1,6,8.81,2.534,179.5
0.1,6,18.23,1.535,29.8
0.1,10,10.68,1.777,186.9
0.1,10,10.78,1.836,128.7
0.1,10,13.89,1.726,190.8
0.1,10,18.37,0.895,14.2
0.1,13,5.36,1.35,183.2
0.1,13,8.46,2.059,121.8
0.1,13,19.42,2.502,242.9
0.1,13,15.43,1.223,51.9
0.1,18,28.26,3.849,141.7
0.1,18,82.2,2.976,119.3
0.1,18,30.28,2.278,75.8
0.1,18,20.08,1.729,33.2
0.1,24,6.99,0.654,115.3
0.1,24,12.31,1.394,88.6
0.1,24,18.48,1.142,59.9
0.1,24,13.85,1.269,16.8
0.1,36,NA,2.014,76.3
0.1,36,12.75,1.084,119.7
0.1,36,28.02,0.566,44.5
0.1,36,15.42,1.265,NA
0.1,48,8.8,1.093,77.4
0.1,48,6.78,1.175,162.8
0.1,48,18.53,1.21,158.2
0.1,48,15.94,2.248,NA
0.1,72,128.35,2.871,61.4
0.1,72,75.54,NA,125.9
0.1,72,16.98,3.525,102.1
0.1,72,10.11,1.164,NA
0.1,96,29.75,0.689,164.4
0.1,96,13.68,0.673,99
0.1,96,NA,4.613,74.5
0.1,96,10.25,0.213,32.5
0.1,168,4.55,NA,98.1
0.1,168,19.38,NA,0
0.1,168,8.82,2.38,57.1
0.1,168,15.29,NA,91.9
0.1,168,NA,4.912,45.1
0.3,6,28.44,1.001,66.9
0.3,6,43.81,1.84,180.5
0.3,6,34.15,1.858,128.9
0.3,6,23.83,1.619,20.5
0.3,10,38.91,1.727,70.7
0.3,10,40.69,1.616,68.4
0.3,10,23.64,0.926,34.4
0.3,10,35.01,1.212,109
0.3,13,38.14,1.76,153.9
0.3,13,21.19,1.803,25.8
0.3,13,93.57,1.068,42.8
0.3,13,25.8,1.621,13.6
0.3,18,55.96,2.63,7.2
0.3,18,112.88,2.355,7.6
0.3,18,19.18,1.538,NA
0.3,18,36.64,1.182,44.9
0.3,18,NA,1.438,73.6
0.3,24,16.81,0.512,212.5
0.3,24,215.9,1.273,22.3
0.3,24,64.67,1.022,41.4
0.3,24,39.28,0.844,5.8
0.3,36,30.89,3.378,20.5
0.3,36,60.77,2.547,0
0.3,36,66.85,1.886,27.8
0.3,36,39.63,2.537,32.6
0.3,48,25.08,3.404,183.3
0.3,48,50.13,0.93,80.2
0.3,48,77.82,0.559,17.8
0.3,48,50.11,1.812,74.9
0.3,72,53.22,0.744,115.1
0.3,72,150.34,1.921,29
0.3,72,46.59,2.087,38.2
0.3,72,40.22,1.769,0
0.3,96,35.39,5.614,0
0.3,96,36.76,0.313,81.9
0.3,96,93.43,0.366,0
0.3,96,61.71,1.976,48.9
0.3,168,17.38,NA,0
0.3,168,38.28,7.387,0
0.3,168,46.45,1.251,52.1
0.3,168,52.51,3.285,0
